Iteration 177 : 71.2142857143 % Training, 70.375 % Testing
Iteration 178 : 71.2142857143 % Training, 70.375 % Testing
Iteration 179 : 71.2142857143 % Training, 70.375 % Testing
Iteration 180 : 71.2142857143 % Training, 70.375 % Testing
Iteration 181 : 71.2142857143 % Training, 70.375 % Testing
Iteration 182 : 71.2142857143 % Training, 70.375 % Testing
Iteration 183 : 71.2142857143 % Training, 70.375 % Testing
Iteration 184 : 71.2142857143 % Training, 70.375 % Testing
Iteration 185 : 71.2142857143 % Training, 70.375 % Testing
Iteration 186 : 71.2142857143 % Training, 70.375 % Testing
Iteration 187 : 71.2142857143 % Training, 70.375 % Testing
Iteration 188 : 71.2142857143 % Training, 70.375 % Testing
Iteration 189 : 71.2142857143 % Training, 70.375 % Testing
Iteration 190 : 71.2142857143 % Training, 70.375 % Testing
Iteration 191 : 71.2142857143 % Training, 70.375 % Testing
Iteration 192 : 71.2142857143 % Training, 70.375 % Testing
Iteration 193 : 71.2142857143 % Training, 70.375 % Testing
Iteration 194 : 71.2142857143 % Training, 70.375 % Testing
Iteration 195 : 71.2142857143 % Training, 70.375 % Testing
Iteration 196 : 71.2142857143 % Training, 70.375 % Testing
Iteration 197 : 71.2142857143 % Training, 70.375 % Testing
Iteration 198 : 71.2142857143 % Training, 70.375 % Testing
Iteration 199 : 71.2142857143 % Training, 70.375 % Testing
Iteration 200 : 71.2142857143 % Training, 70.375 % Testing
Iteration 201 : 71.2142857143 % Training, 70.375 % Testing
Iteration 202 : 71.2142857143 % Training, 70.375 % Testing
Iteration 203 : 71.2142857143 % Training, 70.375 % Testing
Iteration 204 : 71.2142857143 % Training, 70.375 % Testing
Iteration 205 : 71.2142857143 % Training, 70.375 % Testing
Iteration 206 : 71.2142857143 % Training, 70.375 % Testing
Iteration 207 : 71.2142857143 % Training, 70.375 % Testing
Iteration 208 : 71.2142857143 % Training, 70.375 % Testing
Iteration 209 : 71.2142857143 % Training, 70.375 % Testing
Iteration 210 : 71.2142857143 % Training, 70.375 % Testing
Iteration 211 : 71.2142857143 % Training, 70.375 % Testing
Iteration 212 : 71.2142857143 % Training, 70.375 % Testing
Iteration 213 : 71.2142857143 % Training, 70.375 % Testing
Iteration 214 : 71.2142857143 % Training, 70.375 % Testing
Iteration 215 : 71.2142857143 % Training, 70.375 % Testing
Iteration 216 : 71.2142857143 % Training, 70.375 % Testing
Iteration 217 : 71.2142857143 % Training, 70.375 % Testing
Iteration 218 : 71.2142857143 % Training, 70.375 % Testing
Iteration 219 : 71.2142857143 % Training, 70.375 % Testing
Iteration 220 : 71.2142857143 % Training, 70.375 % Testing
Iteration 221 : 71.2142857143 % Training, 70.375 % Testing
Iteration 222 : 71.2142857143 % Training, 70.375 % Testing
Iteration 223 : 71.2142857143 % Training, 70.375 % Testing
Iteration 224 : 71.2142857143 % Training, 70.375 % Testing
Iteration 225 : 71.2142857143 % Training, 70.375 % Testing
Iteration 226 : 71.2142857143 % Training, 70.375 % Testing
Iteration 227 : 71.2142857143 % Training, 70.375 % Testing
Iteration 228 : 71.2142857143 % Training, 70.375 % Testing
Iteration 229 : 71.2142857143 % Training, 70.375 % Testing
Iteration 230 : 71.2142857143 % Training, 70.375 % Testing
Iteration 231 : 71.2142857143 % Training, 70.375 % Testing
Iteration 232 : 71.2142857143 % Training, 70.375 % Testing
Iteration 233 : 71.2142857143 % Training, 70.375 % Testing
Iteration 234 : 71.2142857143 % Training, 70.375 % Testing
Iteration 235 : 71.2142857143 % Training, 70.375 % Testing
Iteration 236 : 71.2142857143 % Training, 70.375 % Testing
Iteration 237 : 71.2142857143 % Training, 70.375 % Testing
Iteration 238 : 71.2142857143 % Training, 70.375 % Testing
Iteration 239 : 71.2142857143 % Training, 70.375 % Testing
Iteration 240 : 71.2142857143 % Training, 70.375 % Testing
Iteration 241 : 71.2142857143 % Training, 70.375 % Testing
Iteration 242 : 71.2142857143 % Training, 70.375 % Testing
Iteration 243 : 71.2142857143 % Training, 70.375 % Testing
Iteration 244 : 71.2142857143 % Training, 70.375 % Testing
Iteration 245 : 71.2142857143 % Training, 70.375 % Testing
Iteration 246 : 71.2142857143 % Training, 70.375 % Testing
Iteration 247 : 71.2142857143 % Training, 70.375 % Testing
Iteration 248 : 71.2142857143 % Training, 70.375 % Testing
Iteration 249 : 71.2142857143 % Training, 70.375 % Testing
Iteration 250 : 71.2142857143 % Training, 70.375 % Testing
|nabla| = 221916.851636
